chain,slug,country,category,official_nutrition_url,priority
Tortilla,tortilla,UK,mexican,https://www.tortilla.co.uk/menu/nutrition-and-allergens,2
Rola Wala,rola-wala,UK,indian,https://rolawala.com/our-food/,3
Subway UK,subway-uk,UK,sandwiches,https://media.subway.com/dam/urn:aaid:aem:3ef80e30-d135-4098-a60c-c54891c4dfce/original/as/UKI_IngredientsNutritionalInformationJune2026.pdf,2
McDonald's India,mcdonalds-india,IN,burgers,https://mcdindia.com/nutritional-information/,1
Domino's India,dominos-india,IN,pizza,https://m.dominos.co.in/jfl-discovery-ui/en/pwa/nutritional-info,1
KFC India,kfc-india,IN,chicken,https://about.kfc.co.in/assets/files/nutrition-booklet.pdf,1
Burger King India,burger-king-india,IN,burgers,https://www.burgerking.in/,1
Subway India,subway-india,IN,sandwiches,https://subway.in/,2
Pizza Hut India,pizza-hut-india,IN,pizza,https://www.pizzahut.co.in/nutrition,2
Starbucks India (Tata Starbucks),starbucks-india,IN,coffee,https://www.starbucks.in/nutrition,2
Chaayos,chaayos,IN,coffee,,2
Taco Bell India,taco-bell-india,IN,mexican,https://www.tacobell.co.in/nutritional-info,2
Barista,barista,IN,coffee,,2
